,title,author,pub_year,avg_rate,num_rate,shelved,series_name,series_num
258,Beautiful Creatures,Kami Garcia,2009,3.76,577913,5847,Caster Chronicles,1.0
259,Shiver,Maggie Stiefvater,2009,3.76,465017,5809,The Wolves of Mercy Falls,1.0
260,The Raven King,Maggie Stiefvater,2016,4.25,129732,5786,The Raven Cycle,4.0
261,Dead Until Dark,Charlaine Harris,2001,3.96,522285,5732,Sookie Stackhouse,1.0
262,Men at Arms,Terry Pratchett,1993,4.38,92813,5713,Discworld,15.0
263,Fool's Errand,Robin Hobb,2001,4.33,84700,5643,Tawny Man,1.0
264,Rivers of London,Ben Aaronovitch,2011,3.87,115072,5631,Rivers of London,1.0
265,The Girl in the Tower,Katherine Arden,2017,4.35,81776,5620,The Winternight Trilogy,2.0
266,A Great and Terrible Beauty,Libba Bray,2003,3.79,219231,5616,Gemma Doyle,1.0
267,Abhorsen,Garth Nix,2003,4.23,120327,5609,Abhorsen,3.0
268,Peter Pan,J.M. Barrie,1911,4.04,320913,5603,,
269,The Magicians' Guild,Trudi Canavan,2001,3.95,79451,5601,Black Magician Trilogy,1.0
270,The Bands of Mourning,Brandon Sanderson,2016,4.42,101028,5547,Mistborn,6.0
271,The Winner's Curse,Marie Rutkoski,2014,3.96,105029,5540,The Winner's Trilogy,1.0
272,The Goblin Emperor,Katherine Addison,2014,4.06,38063,5531,The Goblin Emperor,1.0
273,An Enchantment of Ravens,Margaret  Rogerson,2017,3.65,74428,5524,,
274,The Shadows Between Us,Tricia Levenseller,2020,3.88,129605,5523,The Shadows Between Us,1.0
275,Dracula,Bram Stoker,1897,4.01,1116598,5520,,
276,The Once and Future King,T.H. White,1958,4.06,105034,5516,,
277,"Hush, Hush",Becca Fitzpatrick,2009,3.94,660925,5508,HushHush,1.0
278,Legendborn,Tracy Deonn,2020,4.41,68372,5500,Legendborn,1.0
279,The Atlas Six,Olivie Blake,2020,3.8,79264,5494,The Atlas,1.0
280,The Dragonbone Chair,Tad Williams,1988,3.96,67323,5486,MemorySorrowand Thorn,1.0
281,Dreams of Gods & Monsters,Laini Taylor,2014,4.13,102638,5483,Daughter of Smoke & Bone,3.0
282,Wizard and Glass,Stephen King,1997,4.25,183094,5473,The Dark Tower,4.0
283,Night Watch,Terry Pratchett,2002,4.48,104925,5466,Discworld,29.0
284,Stone of Tears,Terry Goodkind,1995,4.1,109689,5462,Sword of Truth,2.0
285,Pyramids,Terry Pratchett,1989,3.92,79116,5459,Discworld,7.0
286,Red Sister,Mark  Lawrence,2017,4.17,52128,5445,Book of the Ancestor,1.0
287,A Kingdom of Flesh and Fire,Jennifer L. Armentrout,2020,4.43,227239,5444,Blood and Ash,2.0
288,This Savage Song,Victoria Schwab,2016,4.05,90496,5432,Monsters of Verity,1.0
289,Jade City,Fonda Lee,2017,4.11,34482,5430,The Green Bone Saga,1.0
290,A Monster Calls,Patrick Ness,2011,4.34,244551,5416,,
291,Shadow of Night,Deborah Harkness,2012,4.07,219465,5396,All Souls,2.0
292,Watership Down,Richard  Adams,1972,4.07,461514,5395,Watership Down,1.0
293,Summer Knight,Jim Butcher,2002,4.27,141306,5393,The Dresden Files,4.0
294,Witches Abroad,Terry Pratchett,1991,4.23,82526,5377,Discworld,12.0
295,We Hunt the Flame,Hafsah Faizal,2019,3.93,66826,5367,Sands of Arawiya,1.0
296,Dealing with Dragons,Patricia C. Wrede,1990,4.15,88608,5337,Enchanted Forest Chronicles,1.0
297,The Emperor's Soul,Brandon Sanderson,2012,4.36,78380,5320,,
298,The Sword of Summer,Rick Riordan,2015,4.24,188038,5317,Magnus Chase and the Gods of Asgard,1.0
299,Hollow City,Ransom Riggs,2014,4.06,223808,5317,Miss Peregrine's Peculiar Children,2.0
