,title,author,pub_year,avg_rate,num_rate,shelved,series_name,series_num
148,Revelation Space,Alastair Reynolds,2000,3.99,50835,2314,Revelation Space,1
149,The Girl with All the Gifts,M.R. Carey,2014,3.95,210582,2297,The Girl with All the Gifts,1
150,Nemesis Games,James S.A. Corey,2015,4.42,80091,2283,The Expanse,5
151,Out of the Silent Planet,C.S. Lewis,1938,3.92,85463,2279,The Space Trilogy,1
152,A Closed and Common Orbit,Becky  Chambers,2016,4.35,54572,2259,Wayfarers,2
153,Animal Farm,George Orwell,1945,3.98,3390135,2254,,
154,The Gods Themselves,Isaac Asimov,1972,4.09,58909,2233,,
155,Legend,Marie Lu,2011,4.16,487776,2222,Legend,1
156,Anathem,Neal Stephenson,2008,4.16,68580,2203,,
157,Dirk Gently's Holistic Detective Agency,Douglas Adams,1987,3.97,133779,2202,Dirk Gently,1
158,Network Effect,Martha Wells,2020,4.47,53920,2193,The Murderbot Diaries,5
159,The Collapsing Empire,John Scalzi,2017,4.11,47361,2177,The Interdependency,1
160,Klara and the Sun,Kazuo Ishiguro,2021,3.77,222460,2176,,
161,The Death Cure,James Dashner,2011,3.78,402861,2165,The Maze Runner,3
162,Across the Universe,Beth Revis,2011,3.77,117192,2151,Across the Universe,1
163,The Mote in God's Eye,Larry Niven,1974,4.07,67075,2146,Moties,1
164,Exhalation,Ted Chiang,2019,4.27,71792,2136,,
165,Unwind,Neal Shusterman,2007,4.17,213469,2129,Unwind,1
166,I Am Number Four,Pittacus Lore,2010,3.94,332408,2124,Lorien Legacies,1
167,Warcross,Marie Lu,2017,4.15,104380,2124,Warcross,1
168,The Robots of Dawn,Isaac Asimov,1983,4.18,45173,2122,Robot,3
169,Cryptonomicon,Neal Stephenson,1999,4.24,107087,2086,,
170,We,Yevgeny Zamyatin,1924,3.9,85844,2080,,
171,Shards of Honour,Lois McMaster Bujold,1986,4.08,34023,2080,Vorkosigan Saga,1
172,Heir to the Empire,Timothy Zahn,1991,4.15,81262,2079,Star Wars: The Thrawn Trilogy,1
173,The Foundation Trilogy,Isaac Asimov,1953,4.41,97849,2057,Foundation,1
174,Chapterhouse: Dune,Frank Herbert,1985,3.91,57350,2056,Dune,6
175,Roadside Picnic,Arkady Strugatsky,1972,4.16,55450,2047,,
176,Ancillary Sword,Ann Leckie,2014,4.06,48241,2041,Imperial Radch,2
177,Dawn,Octavia E. Butler,1987,4.15,40992,2037,Xenogenesis,1
178,2010: Odyssey Two,Arthur C. Clarke,1982,3.93,54365,1998,,
179,Babylon's Ashes,James S.A. Corey,2016,4.24,66545,1997,The Expanse,6
180,The Last Colony,John Scalzi,2007,4.08,58898,1951,Old Man's War,3
181,Death's End,Liu Cixin,2010,4.43,78883,1932,Remembrance of Earth’s Past,3
182,Vicious,V.E. Schwab,2013,4.23,175673,1931,Villains,1
183,A Princess of Mars,Edgar Rice Burroughs,1912,3.81,54900,1926,Barsoom,1
184,We Are Legion,Dennis E. Taylor,2016,4.28,75003,1920,Bobiverse,1
185,Pandora's Star,Peter F. Hamilton,2004,4.23,46739,1917,Commonwealth Saga,1
186,Matched,Ally Condie,2010,3.63,732228,1917,Matched,1
187,Pretties,Scott Westerfeld,2005,3.84,249815,1899,Uglies,2
188,Gemina,Amie Kaufman,2016,4.45,71106,1871,The Illuminae Files,2
189,Authority,Jeff VanderMeer,2014,3.53,72828,1870,,
190,The Passage,Justin Cronin,2010,4.04,201683,1851,The Passage,1
191,Gideon the Ninth,Tamsyn Muir,2019,4.23,82790,1843,The Locked Tomb,1
192,Forward the Foundation,Isaac Asimov,1993,4.15,51745,1820,Foundation: Prequel ,2
193,Steelheart,Brandon Sanderson,2013,4.14,168785,1814,The Reckoners,1
194,The Stand,Stephen King,1978,4.34,702280,1804,,
195,I Am Legend,Richard Matheson,1954,4.06,117123,1792,,
196,The End of Eternity,Isaac Asimov,1955,4.24,51491,1787,,
197,The End of Eternity,Isaac Asimov,1955,4.24,51491,1787,,
198,The Long Earth,Terry Pratchett,2012,3.77,55774,1778,The Long Earth,1
